id,rdo,data,numero_os,tanque_codigo,nome_tanque,ensacamento,ensacamento_cumulativo,icamento,icamento_cumulativo,cambagem,cambagem_cumulativo,total_liquido,tambores
167,1,2026-01-14,6044,,,0,0,0,0,0,0,,0
170,2,2026-01-15,6044,,,0,0,0,0,0,0,,0
180,3,2026-01-16,6044,,,300,300,0,0,0,0,,0
184,4,2026-01-17,6044,,,0,300,,0,,0,,
189,5,2026-01-17,6044,,,300,700,0,0,0,0,,0
190,6,2026-01-17,6044,"7P COT","7P COT",300,1000,0,0,0,0,,0
213,7,2026-01-19,6044,,,120,1100,0,0,0,0,,0
222,8,2026-01-20,6044,,,120,100,0,0,0,0,,0
223,9,2026-01-20,6044,,,0,,0,0,0,0,,0
246,10,2026-01-28,6044,,,60,60,0,0,0,0,,0
247,11,2026-01-28,6044,,,80,80,0,0,0,0,,0
261,12,2026-01-28,6044,,,200,100,0,0,0,0,,0
267,13,2026-01-28,6044,,,167,100,0,0,0,0,,0
278,15,2026-01-28,6044,,,73,73,0,0,100,100,,0
288,17,2026-01-28,6044,,,0,0,0,0,0,0,,0
301,18,2026-01-29,6044,,,,,,,,,,
303,19,2026-01-29,6044,,,,,,,,,,
305,20,2026-01-30,6044," 2PB ",2BP,,0,,0,,0,,
314,22,2026-01-31,6044,"4P VOID ","4P VOID ",,0,,0,,0,,
319,23,2026-01-31,6044,"4P VOID","4P VOID ",,0,,0,,0,,
327,24,2026-02-02,6044,"7P Tank ","7P Tank ",1800,100,0,0,100,100,,0
336,25,2026-02-03,6044,"7P Tank","7P Tank ",,0,100,100,,0,,10
345,26,2026-02-04,6044,,,,0,100,100,,0,,40
360,27,2026-02-04,6044,"4P VOID","4P VOID ",,0,,100,,0,,
377,28,2026-02-05,6044,"7P Tank","7P Tank ",,0,100,100,,0,,15
387,29,2026-02-06,6044,,,,0,100,100,,0,,35
392,30,2026-02-08,6044,,,,0,100,100,,0,,40
395,31,2026-02-08,6044,"7P Tank","7P Tank ",,0,100,100,,0,,6
406,32,2026-02-10,6044,,,,,,,,,,
411,33,2026-02-11,6044,"7P COT"," 7P COT",0,0,0,0,0,0,,0
