tank_pk,rdo_pk,rdo_data,numero_os,tanque_codigo,nome_tanque,ensacamento_dia,ensacamento_cumulativo,icamento_dia,icamento_cumulativo,cambagem_dia,cambagem_cumulativo,total_liquido,total_liquido_cumulativo,tambores_dia,tambores_cumulativo
107,167,2026-01-14,6044,,,0,0,0,0,0,0,,0,,0
110,170,2026-01-15,6044,,,0,0,0,0,0,0,,0,,0
165,180,2026-01-16,6044,"7P COT"," 7P COT",300,0,,0,,0,2,2,0,0
125,184,2026-01-17,6044,,,0,300,,,,,2,,,
129,189,2026-01-17,6044,"7P COT","7P COT",400,300,0,0,0,0,3,5,,0
169,190,2026-01-17,6044,"7P COT","7P COT",300,700,,0,,0,,5,,0
149,213,2026-01-19,6044,"7P COT"," 7P COT",100,1000,100,0,0,0,108,113,,0
158,222,2026-01-20,6044,"7P COT"," 7P COT",120,1100,100,100,0,0,108,221,,0
175,246,2026-01-28,6044,"7P COT","7P COT",60,1220,0,200,0,0,108,329,,0
177,247,2026-01-28,6044,"7P COT"," 7P COT",80,1280,100,200,0,0,36,365,,0
188,261,2026-01-28,6044,"7P COT"," 7P COT",200,1360,100,300,0,0,36,401,,0
194,267,2026-01-28,6044,"7P COT"," 7P COT",167,1560,100,400,0,0,36,437,,0
202,278,2026-01-28,6044,"7P COT"," 7P COT",73,1727,100,500,500,0,108,545,,0
209,288,2026-01-28,6044,"7P COT"," 7P COT",0,1800,0,700,0,500,,653,0,0
219,305,2026-01-30,6044," 2PB ",2BP,,0,,0,,0,216,216,,0
227,314,2026-01-31,6044,"4P VOID ","4P VOID ",,0,,0,,0,216,216,,0
231,319,2026-01-31,6044,"4P VOID","4P VOID ",,0,,0,,0,216,216,,0
235,327,2026-02-02,6044,"7P Tank ","7P Tank ",1800,0,0,0,990,0,,0,0,0
239,336,2026-02-03,6044,"7P Tank","7P Tank ",,0,200,0,,0,,0,10,10
246,345,2026-02-04,6044,"7P Tank","7P Tank ",,0,,200,,0,,0,,10
261,360,2026-02-04,6044,"7P Tank","7P Tank ",,0,,200,,0,,0,,10
262,360,2026-02-04,6044,"4P VOID","4P VOID ",,0,,0,,0,180,576,,0
278,377,2026-02-05,6044,"7P Tank","7P Tank ",,0,285,200,,0,,0,15,25
291,387,2026-02-06,6044,"7P Tank","7P Tank ",,0,,485,,0,,0,,25
300,392,2026-02-08,6044,"7P Tank","7P Tank ",,0,,485,,0,,0,,25
303,395,2026-02-08,6044,"7P Tank","7P Tank ",,0,100,585,,0,,0,6,37
315,406,2026-02-10,6044,,,,,,,,,,,,
336,411,2026-02-11,6044,"7P COT"," 7P COT",0,0,0,0,0,0,,0,0,0
